Date,Open,High,Low,Close,Volume,Adj Close
17/01/2008,-0.341205439,-0.350570549,-0.400828822,-0.412224037,1.483680376,-0.412224037
18/01/2008,-0.41104116,-0.397367999,-0.431890391,-0.425986561,1.951346127,-0.425986561
19/01/2008,-0.41104116,-0.397367999,-0.431890391,-0.425986561,1.951346127,-0.425986561
20/01/2008,-0.41104116,-0.397367999,-0.431890391,-0.425986561,1.951346127,-0.425986561
21/01/2008,-0.41104116,-0.397367999,-0.431890391,-0.425986561,1.951346127,-0.425986561
22/01/2008,-0.446838714,-0.445444745,-0.497263189,-0.451069588,2.311137717,-0.451069588
23/01/2008,-0.451159522,-0.416452094,-0.504515419,-0.403088972,0.109794349,-0.403088972
24/01/2008,-0.400401028,-0.389062466,-0.394602812,-0.380089041,1.771706922,-0.380089041
25/01/2008,-0.371042468,-0.366192322,-0.406250978,-0.416731854,1.203178229,-0.416731854
26/01/2008,-0.371042468,-0.366192322,-0.406250978,-0.416731854,1.203178229,-0.416731854
27/01/2008,-0.371042468,-0.366192322,-0.406250978,-0.416731854,1.203178229,-0.416731854
28/01/2008,-0.416506539,-0.391074989,-0.415213644,-0.376861847,0.682455131,-0.376861847
29/01/2008,-0.373399367,-0.372383114,-0.367441295,-0.362621174,0.770448617,-0.362621174
30/01/2008,-0.362673756,-0.336688161,-0.362720476,-0.373702811,1.110212907,-0.373702811
31/01/2008,-0.380162552,-0.337097452,-0.394996387,-0.334874352,1.261853882,-0.334874352
01/02/2008,-0.33469848,-0.31936073,-0.323414491,-0.306068891,1.048904714,-0.306068891
02/02/2008,-0.33469848,-0.31936073,-0.323414491,-0.306068891,1.048904714,-0.306068891
03/02/2008,-0.33469848,-0.31936073,-0.323414491,-0.306068891,1.048904714,-0.306068891
04/02/2008,-0.306040005,-0.320452243,-0.316983445,-0.33099851,0.279143321,-0.33099851
05/02/2008,-0.33182913,-0.346204497,-0.390617572,-0.406435598,0.82561866,-0.406435598
06/02/2008,-0.401511199,-0.39450296,-0.411656013,-0.423835099,0.620600435,-0.423835099
07/02/2008,-0.427932235,-0.402688995,-0.424638161,-0.405974541,1.007843753,-0.405974541
08/02/2008,-0.405951676,-0.412819477,-0.417266083,-0.415570664,0.460895223,-0.415570664
09/02/2008,-0.405951676,-0.412819477,-0.417266083,-0.415570664,0.460895223,-0.415570664
10/02/2008,-0.405951676,-0.412819477,-0.417266083,-0.415570664,0.460895223,-0.415570664
11/02/2008,-0.414422753,-0.412512404,-0.418531998,-0.402183948,0.344030437,-0.402183948
12/02/2008,-0.399683638,-0.377209671,-0.385965237,-0.385570039,0.644939768,-0.385570039
13/02/2008,-0.37821553,-0.365049804,-0.366431988,-0.354237515,0.519497566,-0.354237515
14/02/2008,-0.353946454,-0.366874544,-0.372367149,-0.385570039,0.378433404,-0.385570039
15/02/2008,-0.387779682,-0.397845575,-0.38806904,-0.383640559,0.337472413,-0.383640559
16/02/2008,-0.387779682,-0.397845575,-0.38806904,-0.383640559,0.337472413,-0.383640559
17/02/2008,-0.387779682,-0.397845575,-0.38806904,-0.383640559,0.337472413,-0.383640559
18/02/2008,-0.387779682,-0.397845575,-0.38806904,-0.383640559,0.337472413,-0.383640559
